method,entity_type,site,probe,layer,test_r2,test_spearman,train_r2,is_best
gpt_oss_120b,headline,last,ridge,31,0.4501726130736917,0.6937143539548815,0.6011870915496493,False
gpt_oss_120b,headline,last,ridge,32,0.45377819102764383,0.6954033839375051,0.6018451790911923,False
gpt_oss_120b,headline,last,ridge,33,0.4630823665864947,0.6986285624729008,0.6015311554465252,False
gpt_oss_120b,headline,last,ridge,34,0.45867627358943175,0.6949980081202686,0.6019209388318956,False
gpt_oss_120b,headline,last,ridge,35,0.4554730396274751,0.6918806042597212,0.6024356981691477,False
gpt_oss_120b,headline,last,ridge,36,0.5095825713722757,0.7218831673655974,0.5714757798550855,True
gpt_oss_120b,art,last,ridge,1,0.14011691703851525,0.3678603092483622,0.2490406531167978,False
gpt_oss_120b,art,last,ridge,2,0.23457182364822948,0.46590209294560564,0.321007046687687,False
gpt_oss_120b,art,last,ridge,3,0.33184206550070217,0.5606226872590298,0.43543041135056215,False
gpt_oss_120b,art,last,ridge,4,0.49919953412175233,0.6900187435111127,0.5641900917098741,False
gpt_oss_120b,art,last,ridge,5,0.5543330173134831,0.7255237527207605,0.625193869379739,False
gpt_oss_120b,art,last,ridge,6,0.5823238704386259,0.7407689110224941,0.6559893654159842,False
gpt_oss_120b,art,last,ridge,7,0.5888093570346546,0.7444826985785993,0.6665735858633749,False
gpt_oss_120b,art,last,ridge,8,0.6081192245303197,0.7617398674999033,0.693037885535276,False
gpt_oss_120b,art,last,ridge,9,0.632021054370351,0.7766035565995743,0.7133982760799293,False
gpt_oss_120b,art,last,ridge,10,0.7069205674368872,0.8141611135792641,0.7781118686196824,False
gpt_oss_120b,art,last,ridge,11,0.7309662007052071,0.8248399114657642,0.7907045199295474,False
gpt_oss_120b,art,last,ridge,12,0.7391801548098909,0.829111364396493,0.8054813204204969,True
gpt_oss_120b,art,last,ridge,13,0.7361411010905456,0.8273391400575862,0.8049498800637341,False
gpt_oss_120b,art,last,ridge,14,0.729713626732502,0.8241884818501352,0.8042105673303288,False
gpt_oss_120b,art,last,ridge,15,0.7295434194672192,0.8242482625702685,0.8032548958183042,False
gpt_oss_120b,art,last,ridge,16,0.7279621168716421,0.8234507141831889,0.8021539642379757,False
gpt_oss_120b,art,last,ridge,17,0.7216445714651307,0.8199206271846144,0.8014370769671071,False
gpt_oss_120b,art,last,ridge,18,0.7192881995502536,0.8189706051297495,0.7988353289512999,False
gpt_oss_120b,art,last,ridge,19,0.7171457720471616,0.8172897404236553,0.7959485814269869,False
gpt_oss_120b,art,last,ridge,20,0.7133336485739332,0.8140624336043497,0.7910316151512267,False
gpt_oss_120b,art,last,ridge,21,0.7094092860656911,0.8107123565480058,0.7871947272621478,False
gpt_oss_120b,art,last,ridge,22,0.7080173467655768,0.8087466545734803,0.7849992800194558,False
gpt_oss_120b,art,last,ridge,23,0.6958421175904621,0.7999030081880163,0.7770827494436634,False
gpt_oss_120b,art,last,ridge,24,0.683291387123817,0.7940667237238821,0.7700015780141811,False
gpt_oss_120b,art,last,ridge,25,0.6722738744062728,0.7882139617163897,0.7639317618073875,False
gpt_oss_120b,art,last,ridge,26,0.6624072420877769,0.782405684637934,0.7550988477886273,False
gpt_oss_120b,art,last,ridge,27,0.6604559709149462,0.7802757980283251,0.75100593665401,False
gpt_oss_120b,art,last,ridge,28,0.658340265858615,0.7785798966570882,0.7440899696776353,False
gpt_oss_120b,art,last,ridge,29,0.656941294145305,0.7765073659877784,0.742836250756066,False
gpt_oss_120b,art,last,ridge,30,0.6535184435797219,0.7759292456633357,0.7426754249191732,False
gpt_oss_120b,art,last,ridge,31,0.6480663691093224,0.7720887093010085,0.7393639940982719,False
gpt_oss_120b,art,last,ridge,32,0.6464688195638586,0.7697912750972774,0.7390785512228377,False
gpt_oss_120b,art,last,ridge,33,0.6495387193468309,0.7708640823256144,0.7429262970772419,False
gpt_oss_120b,art,last,ridge,34,0.6536917529455409,0.7728437378339962,0.7498942222433207,False
gpt_oss_120b,art,last,ridge,35,0.659748685856716,0.7782125223032266,0.7559428429374198,False
gpt_oss_120b,art,last,ridge,36,0.6819615218234767,0.7909347580781279,0.7452602335296815,False
gpt_oss_120b,us_place,last,ridge,1,0.43005760187151615,0.6503208883190121,0.5103606855113224,False
gpt_oss_120b,us_place,last,ridge,2,0.49963669019815704,0.7055701756235231,0.5507960155020302,False
gpt_oss_120b,us_place,last,ridge,3,0.5628313753576677,0.7475202704278241,0.6250161041708433,False
gpt_oss_120b,us_place,last,ridge,4,0.5999591006670195,0.7723251874996409,0.6642119118874886,False
gpt_oss_120b,us_place,last,ridge,5,0.6115350127676689,0.7810623722092569,0.6621562457749859,False
gpt_oss_120b,us_place,last,ridge,6,0.6222675456112726,0.7862142477748648,0.6777896756598089,False
gpt_oss_120b,us_place,last,ridge,7,0.6313861197567054,0.7877590470812073,0.6888944660218876,False
gpt_oss_120b,us_place,last,ridge,8,0.637940302282892,0.792431857557343,0.7005455331250868,False
gpt_oss_120b,us_place,last,ridge,9,0.6445440387763987,0.7932708247969426,0.7154375152814156,False
gpt_oss_120b,us_place,last,ridge,10,0.646074316852256,0.7933470687427799,0.7218212762177271,False
gpt_oss_120b,us_place,last,ridge,11,0.6536259777238389,0.7977282913160788,0.7339572072562996,False
gpt_oss_120b,us_place,last,ridge,12,0.656335728190021,0.7994478454207591,0.7392929776080668,True
gpt_oss_120b,us_place,last,ridge,13,0.6473699595675124,0.7933682280582799,0.7404710473116594,False
gpt_oss_120b,us_place,last,ridge,14,0.6381690700515303,0.7864945992685772,0.7374182780153515,False
gpt_oss_120b,us_place,last,ridge,15,0.632443866506419,0.7834297685331788,0.7347703259503438,False
