arm,entity_type,site,layer,rows,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
llama2_13b_random,assyrian_ruler,ent_last,16,all,204,34,True,-0.1852663794248953,1.0007240022407282,0.27504103623076054,0.2205131751553105,-0.18537748817497757,1.000677291570959,0.274923176233447,0.22100815829190296,-0.6989605812796416,0.4616183228112823
llama2_13b_random,assyrian_ruler,ent_last,16,bare,34,34,True,-0.2460657192766896,1.0690925411062118,0.27,0.3307505379698527,-0.24159289177948723,1.0649878260930437,0.2680357142857143,0.32874602310002426,-0.7345097240842677,0.5357142857142858
llama2_13b_random,assyrian_ruler,ent_last,17,all,204,34,True,-0.19454722898114618,1.0146236476040826,0.2634956673272571,0.21914598967406845,-0.19469598817007122,1.0145235543610691,0.2628965456742467,0.219311260346669,-0.7066257338169295,0.3859914912017744
llama2_13b_random,assyrian_ruler,ent_last,17,bare,34,34,True,-0.2674707636645534,1.106317747751719,0.20160714285714287,0.3360351335342598,-0.2632134772266665,1.1033438918525162,0.20053571428571432,0.33532799774463895,-0.738721149994449,0.5357142857142858
llama2_13b_random,assyrian_ruler,ent_last,18,all,204,34,True,-0.19966939711952322,1.013212308974643,0.2532418475609809,0.22764909763186422,-0.19969081276624537,1.0129698816217882,0.25322711506131673,0.22759025300176836,-0.6988738259519136,0.3712589915375845
llama2_13b_random,assyrian_ruler,ent_last,18,bare,34,34,True,-0.2932301740758355,1.123769501403983,0.09392857142857144,0.33045481181707925,-0.29146380659537524,1.1226624292567895,0.0923214285714286,0.33112897288469567,-0.7436359144106504,0.5
llama2_13b_random,assyrian_ruler,ent_last,19,all,204,34,True,-0.2110534605977909,1.0301757852685771,0.24436306109669584,0.22760685821693896,-0.21111737206045875,1.0299872470127143,0.244142073601733,0.227266643212169,-0.7279910050874538,0.33688315898780813
llama2_13b_random,assyrian_ruler,ent_last,19,bare,34,34,True,-0.29024130862697456,1.1071669349996867,0.1310714285714286,0.35447413624312024,-0.2877913681253701,1.1036671001047065,0.12767857142857145,0.35384977319449556,-0.7331664627971619,0.5714285714285715
llama2_13b_random,assyrian_ruler,ent_last,20,all,204,34,True,-0.1944441278498336,1.0226060569451338,0.27922506613539044,0.2345571219028637,-0.19455034951254,1.0224769884490539,0.2790384544729774,0.23453140820641785,-0.6867594299494231,0.35554432522911533
llama2_13b_random,assyrian_ruler,ent_last,20,bare,34,34,True,-0.2600232383674006,1.0901848961384806,0.2067857142857143,0.34077848302056274,-0.25563159558346116,1.085522357048904,0.20750000000000007,0.3401940847606297,-0.7073266024986979,0.8214285714285715
llama2_13b_random,assyrian_ruler,ent_last,21,all,204,34,True,-0.19546594099730372,1.015494273219412,0.2798438311212864,0.2306701311977032,-0.19562379849075498,1.0153567117604325,0.27951971612867427,0.23050831990258866,-0.6947421131432001,0.36045515845051196
llama2_13b_random,assyrian_ruler,ent_last,21,bare,34,34,True,-0.25211557857918054,1.0793516829678989,0.24178571428571435,0.3269507779842247,-0.2476369296513448,1.0739867427818275,0.24178571428571435,0.32675565825870817,-0.7137526748345504,0.8214285714285715
llama2_13b_random,assyrian_ruler,ent_last,22,all,204,34,True,-0.2061638695198534,1.0275656405698264,0.26083399572126015,0.2228218049085856,-0.20617717288223517,1.027316558339466,0.26047550489609816,0.22287279304093496,-0.6772561116251654,0.3359009923435288
llama2_13b_random,assyrian_ruler,ent_last,22,bare,34,34,True,-0.2551685141935229,1.0902097099904027,0.2423214285714286,0.3359967941264699,-0.25101650950381127,1.0860190848953517,0.24196428571428577,0.3349428351317915,-0.7100187494874297,0.7500000000000002
llama2_13b_random,assyrian_ruler,ent_last,23,all,204,34,True,-0.19667435108570358,1.0158349427729823,0.26904981970065667,0.21561882359517354,-0.19671435278251564,1.015661379794077,0.26900071136844267,0.21560775271125587,-0.6870134397578427,0.37420549147042254
llama2_13b_random,assyrian_ruler,ent_last,23,bare,34,34,True,-0.25641147664177777,1.1007678129952314,0.25625000000000003,0.3369929581260277,-0.25248023094721583,1.0980423422658463,0.2555357142857143,0.33713789153425533,-0.7175869618400033,0.7500000000000002
llama2_13b_random,assyrian_ruler,ent_last,24,all,204,34,True,-0.2209207405860273,1.037546778151775,0.23793969124310904,0.21591122029298573,-0.22095593008660597,1.0372985774417824,0.23788567207767372,0.21566521759225998,-0.7055964844376008,0.36045515845051196
llama2_13b_random,assyrian_ruler,ent_last,24,bare,34,34,True,-0.2697973814561759,1.1118083082469226,0.2360714285714286,0.3475458786334577,-0.266614510246424,1.1098727617572837,0.23500000000000007,0.34775812612463036,-0.7156559514681589,0.7500000000000002
llama2_13b_random,assyrian_ruler,ent_last,25,all,204,34,True,-0.222242498601135,1.0473887697815665,0.2344137129901463,0.2154779631462684,-0.22227106209848846,1.0472012851342873,0.23440389132370348,0.21546886005674512,-0.72858491524622,0.3918844910674503
llama2_13b_random,assyrian_ruler,ent_last,25,bare,34,34,True,-0.27615705932406925,1.1071382491693398,0.20071428571428576,0.3467332974951162,-0.2734068795373583,1.1045679574504685,0.19785714285714293,0.3444316525311026,-0.7209701868111706,0.7142857142857144
llama2_13b_random,assyrian_ruler,ent_last,26,all,204,34,True,-0.2516862102831616,1.0740782284534747,0.19197920312405808,0.20665376414978115,-0.25165448877626984,1.0739080847621776,0.19176803729553804,0.2064586417258506,-0.777717412095984,0.3417939922092048
llama2_13b_random,assyrian_ruler,ent_last,26,bare,34,34,True,-0.2752810964287675,1.096888875863476,0.1885714285714286,0.33385044922686513,-0.27272420487917437,1.094036331542974,0.18785714285714292,0.3326463158199283,-0.7242208016560499,0.642857142857143
