method,cleaning,pool,layer,k_used,isomap_spearman,isomap_pairwise_acc,isomap_neighbor_purity,isomap_neighbor_sigma,ebin_spearman,ebin_pairwise_acc
qwen3_1b7,maximal,mean,2,6,0.29716914088187996,0.6525588378151631,0.7911148365465214,14.18066509379503,0.16075808928210056,0.6061674835519053
qwen3_1b7,maximal,mean,3,6,0.33328895921041396,0.6936625160065351,0.7958088851634535,12.539840418961331,0.107050297890823,0.5618238618801608
qwen3_1b7,maximal,mean,4,6,0.23824815737539898,0.6355974301231951,0.785331098072087,9.469745290219425,0.07092929114592361,0.5330507351967148
qwen3_1b7,maximal,mean,5,6,0.08384032494601,0.5240594780765664,0.777200335289187,8.236070892759884,0.07461608075677335,0.5096480770079922
qwen3_1b7,maximal,mean,6,6,0.1548890475509098,0.5854748973373957,0.769740150880134,5.722534561570204,0.03827860443707492,0.4941051794939727
qwen3_1b7,maximal,mean,7,6,0.16491102947568675,0.6013158475736301,0.7653813914501257,5.501680309452856,0.008562845119380842,0.4848489866207445
qwen3_1b7,maximal,mean,8,6,0.22409640219280288,0.6177473837594384,0.7783738474434199,7.444165021373417,0.003108780931113986,0.5191747251291562
qwen3_1b7,maximal,mean,9,6,0.23335676930619986,0.6489546076743057,0.7849958088851634,8.719729091467897,0.02354744018735873,0.507274694219985
qwen3_1b7,maximal,mean,10,6,0.20161185823396016,0.62141232834371,0.7865046102263202,13.7465025625502,0.0719530949866982,0.5356173003046761
qwen3_1b7,maximal,mean,11,6,0.20015425869562747,0.6169249790259196,0.7834870075440068,10.76637593218711,0.06278823774510307,0.5339448933633594
qwen3_1b7,maximal,mean,12,6,0.2281570553209967,0.6341844394401024,0.7747694886839899,9.575421372675798,0.07785650224658162,0.5419591998940257
qwen3_1b7,maximal,mean,13,6,0.22621268043102769,0.6330253455203779,0.7777032690695724,7.590863402044312,0.040573734866361275,0.500325650196494
qwen3_1b7,maximal,mean,14,6,0.265839046369791,0.6477734357751579,0.7812238055322716,8.369219135426437,0.09985189773784182,0.5333598269086414
qwen3_1b7,maximal,mean,15,6,0.24567145450853478,0.6176369938623217,0.7766974015088013,9.051330519661846,0.06814453453112135,0.5070263169514726
qwen3_1b7,maximal,mean,16,6,0.1243680238585202,0.5893551022210447,0.7753562447611064,8.60307751813967,0.07954232092555608,0.5163156267938358
qwen3_1b7,maximal,mean,17,6,0.22512985440322042,0.6225162273148761,0.7840737636211232,10.924275196674575,0.08789081222502827,0.5144058815737184
qwen3_1b7,maximal,mean,18,6,0.16377451201072316,0.6080165143286086,0.7779547359597654,7.276297701950624,0.06637535730748792,0.5062701461562238
qwen3_1b7,maximal,mean,19,6,0.20264452977085962,0.6428058904049101,0.7874266554903604,10.04518818397334,0.1280143728744091,0.5305780015013026
qwen3_1b7,maximal,mean,20,6,0.20879459044855653,0.6376065262507176,0.7829002514668902,8.750660315718308,0.14606660536431457,0.5478926568640438
qwen3_1b7,maximal,mean,21,4,0.11099192848347411,0.5694628427606305,0.7654652137468566,5.0771086805518895,0.0033458125094243917,0.4892314655362741
qwen3_1b7,maximal,mean,22,5,0.024045577666766293,0.5123029540336469,0.7661357921207042,5.435292999622012,0.006005114837144017,0.48191813485229834
qwen3_1b7,maximal,mean,23,4,0.05253538974125369,0.5285357884046452,0.7643755238893546,4.679778427225752,0.05795172230230377,0.5566686536848148
qwen3_1b7,maximal,mean,24,4,0.025515028957543574,0.5210182364110036,0.7839061190276614,8.20937185947196,0.05324579033133575,0.5423234865545106
qwen3_1b7,maximal,mean,25,4,0.0058798939726030005,0.495369143815958,0.7714165968147527,5.208621408669967,0.014797317636652416,0.5044763103280788
qwen3_1b7,maximal,mean,26,4,0.0002657283851215736,0.513991919459531,0.7745180217937971,7.881415669175755,0.04539527532461538,0.5284253985075286
qwen3_1b7,maximal,mean,27,4,0.07268400734724867,0.5478319424206297,0.7558256496227997,2.7563856651561953,0.013683887251498928,0.5043217644721155
qwen3_1b7,maximal,mean,28,6,0.08899587574577653,0.5572206031703979,0.767393126571668,5.337885696420372,0.032374973614731795,0.5194175829028127
qwen3_1b7,tier0,last,0,38,0.044312786495793594,0.48168631606835344,0.7953059513830678,10.739151830524241,0.023264012237248468,0.5349108049631298
qwen3_1b7,tier0,last,1,19,0.011158963609819045,0.5316763809776129,0.7854987426655492,9.444980146110895,0.06789537029945841,0.5566796926745264
qwen3_1b7,tier0,last,2,21,0.003961761353482246,0.5024727336954122,0.7683989941324393,5.879520292377718,0.11209335977682269,0.5906080275533183
qwen3_1b7,tier0,last,3,16,0.1119034460854063,0.5894710116130172,0.7853310980720872,8.127394480903265,0.06401087834987387,0.5503377930851768
qwen3_1b7,tier0,last,4,13,0.0524975556311636,0.4996191548549477,0.7797150041911148,9.617789282821473,0.07519152796043739,0.5511381198392723
qwen3_1b7,tier0,last,5,14,0.035031753032727486,0.4856603523645516,0.7747694886839899,7.425952122069483,0.08184925985603497,0.5601072989799973
